epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,5966.72,1.2249,0.94709,1.31584,0.66346,0.50646,0.5009,0.26836,1.69359,1.29604,1.72724,0.000495291,0.000495291,0.000495291
68,6056.67,1.21631,0.92974,1.30831,0.64208,0.52469,0.50389,0.2755,1.66336,1.26476,1.69948,0.000481144,0.000481144,0.000481144
69,6146.88,1.21185,0.93678,1.31248,0.64387,0.52341,0.49559,0.27149,1.68071,1.28818,1.71667,0.000466997,0.000466997,0.000466997
70,6236.85,1.21037,0.93245,1.30748,0.67414,0.5057,0.50031,0.27614,1.63334,1.2876,1.67871,0.00045285,0.00045285,0.00045285
71,6327.22,1.21697,0.9385,1.30579,0.63285,0.5106,0.49203,0.27853,1.62309,1.30036,1.66149,0.000438703,0.000438703,0.000438703
72,6417.15,1.19362,0.9071,1.2932,0.64081,0.51139,0.49303,0.27632,1.63741,1.28641,1.68007,0.000424556,0.000424556,0.000424556
73,6506.82,1.19403,0.9125,1.2975,0.6248,0.52017,0.49328,0.2771,1.625,1.30333,1.6822,0.000410409,0.000410409,0.000410409
74,6596.72,1.20738,0.92457,1.30776,0.64262,0.50698,0.4998,0.28158,1.62114,1.30273,1.68323,0.000396262,0.000396262,0.000396262
75,6686.24,1.20259,0.90429,1.29357,0.66368,0.51001,0.50161,0.27921,1.64058,1.27764,1.69073,0.000382115,0.000382115,0.000382115
76,6774.66,1.18981,0.88393,1.28549,0.65776,0.51748,0.50925,0.28177,1.6426,1.27547,1.6962,0.000367967,0.000367967,0.000367967
77,6861.52,1.17182,0.8837,1.28243,0.63621,0.51185,0.49511,0.27713,1.63189,1.26888,1.67674,0.00035382,0.00035382,0.00035382
78,6948.58,1.18604,0.88301,1.28162,0.63783,0.51858,0.50213,0.28521,1.59491,1.2686,1.66708,0.000339673,0.000339673,0.000339673
79,7035.55,1.16664,0.883,1.28577,0.64997,0.51469,0.51215,0.28029,1.64531,1.24228,1.70961,0.000325526,0.000325526,0.000325526
80,7120.83,1.17035,0.87197,1.27621,0.63263,0.53795,0.5143,0.2853,1.61225,1.24326,1.67745,0.000311379,0.000311379,0.000311379
81,7206.15,1.16974,0.88465,1.28334,0.63781,0.52405,0.50206,0.28284,1.62443,1.26871,1.68368,0.000297232,0.000297232,0.000297232
82,7289.53,1.16506,0.87232,1.27351,0.6617,0.49422,0.50098,0.27748,1.63869,1.27996,1.69697,0.000283085,0.000283085,0.000283085
83,7373.34,1.15925,0.86184,1.27426,0.66942,0.49351,0.49663,0.27755,1.62448,1.28851,1.67864,0.000268938,0.000268938,0.000268938
84,7458.74,1.15994,0.86701,1.26834,0.66238,0.50196,0.50119,0.28232,1.60147,1.25786,1.67228,0.000254791,0.000254791,0.000254791
85,7540.68,1.15372,0.86863,1.27597,0.64952,0.49926,0.4978,0.28015,1.63794,1.27212,1.71507,0.000240644,0.000240644,0.000240644
86,7624.6,1.15026,0.86096,1.26901,0.6464,0.51413,0.50837,0.28142,1.62335,1.28966,1.69132,0.000226497,0.000226497,0.000226497
87,7708.09,1.15937,0.85901,1.2642,0.63102,0.50537,0.49545,0.27726,1.65355,1.28752,1.72772,0.000212349,0.000212349,0.000212349
88,7790.52,1.14405,0.86159,1.26175,0.66994,0.49979,0.50971,0.28556,1.62833,1.27237,1.69901,0.000198202,0.000198202,0.000198202
89,7873.64,1.13417,0.84412,1.25156,0.66715,0.51241,0.51018,0.28421,1.62667,1.26611,1.70417,0.000184055,0.000184055,0.000184055
90,7956.41,1.13713,0.83813,1.25403,0.64492,0.50471,0.49838,0.27844,1.6496,1.285,1.72282,0.000169908,0.000169908,0.000169908
91,8042.64,1.05888,0.6825,1.20949,0.65616,0.49443,0.49564,0.27754,1.63057,1.27153,1.70743,0.000155761,0.000155761,0.000155761
92,8121.63,1.04572,0.6538,1.19975,0.64537,0.51842,0.50342,0.28023,1.63211,1.29112,1.70547,0.000141614,0.000141614,0.000141614
93,8204.63,1.02573,0.63823,1.18473,0.65869,0.51772,0.50282,0.27931,1.62242,1.29914,1.69976,0.000127467,0.000127467,0.000127467
94,8289.75,1.01756,0.63519,1.18418,0.66232,0.51389,0.50252,0.28104,1.61555,1.29391,1.70204,0.00011332,0.00011332,0.00011332
95,8377.71,1.01106,0.61697,1.17571,0.66398,0.506,0.49844,0.28008,1.6212,1.29043,1.70646,9.91726e-05,9.91726e-05,9.91726e-05
96,8465.39,1.00189,0.61314,1.17469,0.6614,0.51072,0.49778,0.28067,1.6173,1.30203,1.70104,8.50255e-05,8.50255e-05,8.50255e-05
97,8553.66,1.00362,0.60966,1.17583,0.66755,0.50465,0.49793,0.28014,1.62955,1.30841,1.71251,7.08784e-05,7.08784e-05,7.08784e-05
98,8641.78,0.99592,0.60884,1.17074,0.66548,0.51064,0.50009,0.28225,1.62455,1.28908,1.71585,5.67313e-05,5.67313e-05,5.67313e-05
99,8730.17,0.99729,0.60752,1.17147,0.63321,0.51667,0.49615,0.28059,1.63106,1.30103,1.7195,4.25842e-05,4.25842e-05,4.25842e-05
100,8818.53,0.99399,0.60044,1.16793,0.65534,0.5083,0.50067,0.28105,1.63099,1.30397,1.72054,2.84371e-05,2.84371e-05,2.84371e-05
